EMP ID,Shift_Start,Shift_End,Day_Name,Status
1,6:00:00 AM,3:00:00 PM,Mon,WO
1,6:00:00 AM,3:00:00 PM,Tue,WO
1,6:00:00 AM,3:00:00 PM,Wed,P
1,6:00:00 AM,3:00:00 PM,Thu,P
1,6:00:00 AM,3:00:00 PM,Fri,P
1,6:00:00 AM,3:00:00 PM,Sat,P
1,6:00:00 AM,3:00:00 PM,Sun,P
2,2:00:00 PM,11:00:00 PM,Mon,P
2,2:00:00 PM,11:00:00 PM,Tue,P
2,2:00:00 PM,11:00:00 PM,Wed,P
2,2:00:00 PM,11:00:00 PM,Thu,WO
2,2:00:00 PM,11:00:00 PM,Fri,WO
2,2:00:00 PM,11:00:00 PM,Sat,P
2,2:00:00 PM,11:00:00 PM,Sun,P
3,10:00:00 PM,7:00:00 AM,Mon,P
3,10:00:00 PM,7:00:00 AM,Tue,P
3,10:00:00 PM,7:00:00 AM,Wed,WO
3,10:00:00 PM,7:00:00 AM,Thu,P
3,10:00:00 PM,7:00:00 AM,Fri,P
3,10:00:00 PM,7:00:00 AM,Sat,WO
3,10:00:00 PM,7:00:00 AM,Sun,P
4,6:00:00 AM,3:00:00 PM,Mon,P
4,6:00:00 AM,3:00:00 PM,Tue,WO
4,6:00:00 AM,3:00:00 PM,Wed,WO
4,6:00:00 AM,3:00:00 PM,Thu,P
4,6:00:00 AM,3:00:00 PM,Fri,P
4,6:00:00 AM,3:00:00 PM,Sat,P
4,6:00:00 AM,3:00:00 PM,Sun,P
5,2:00:00 PM,11:00:00 PM,Mon,P
5,2:00:00 PM,11:00:00 PM,Tue,P
5,2:00:00 PM,11:00:00 PM,Wed,WO
5,2:00:00 PM,11:00:00 PM,Thu,P
5,2:00:00 PM,11:00:00 PM,Fri,WO
5,2:00:00 PM,11:00:00 PM,Sat,P
5,2:00:00 PM,11:00:00 PM,Sun,P
6,10:00:00 PM,7:00:00 AM,Mon,P
6,10:00:00 PM,7:00:00 AM,Tue,WO
6,10:00:00 PM,7:00:00 AM,Wed,WO
6,10:00:00 PM,7:00:00 AM,Thu,P
6,10:00:00 PM,7:00:00 AM,Fri,P
6,10:00:00 PM,7:00:00 AM,Sat,P
6,10:00:00 PM,7:00:00 AM,Sun,P
7,6:00:00 AM,3:00:00 PM,Mon,WO
7,6:00:00 AM,3:00:00 PM,Tue,P
7,6:00:00 AM,3:00:00 PM,Wed,P
7,6:00:00 AM,3:00:00 PM,Thu,P
7,6:00:00 AM,3:00:00 PM,Fri,P
7,6:00:00 AM,3:00:00 PM,Sat,WO
7,6:00:00 AM,3:00:00 PM,Sun,P
8,2:00:00 PM,11:00:00 PM,Mon,P
8,2:00:00 PM,11:00:00 PM,Tue,WO
8,2:00:00 PM,11:00:00 PM,Wed,WO
8,2:00:00 PM,11:00:00 PM,Thu,P
8,2:00:00 PM,11:00:00 PM,Fri,P
8,2:00:00 PM,11:00:00 PM,Sat,P
8,2:00:00 PM,11:00:00 PM,Sun,P
9,10:00:00 PM,7:00:00 AM,Mon,WO
9,10:00:00 PM,7:00:00 AM,Tue,WO
9,10:00:00 PM,7:00:00 AM,Wed,P
9,10:00:00 PM,7:00:00 AM,Thu,P
9,10:00:00 PM,7:00:00 AM,Fri,P
9,10:00:00 PM,7:00:00 AM,Sat,P
9,10:00:00 PM,7:00:00 AM,Sun,P
10,6:00:00 AM,3:00:00 PM,Mon,P
10,6:00:00 AM,3:00:00 PM,Tue,P
10,6:00:00 AM,3:00:00 PM,Wed,P
10,6:00:00 AM,3:00:00 PM,Thu,WO
10,6:00:00 AM,3:00:00 PM,Fri,WO
10,6:00:00 AM,3:00:00 PM,Sat,P
10,6:00:00 AM,3:00:00 PM,Sun,P
11,2:00:00 PM,11:00:00 PM,Mon,WO
11,2:00:00 PM,11:00:00 PM,Tue,P
